year mountain_area litter_size mother_id mother_age rodent_index
2010 37 1 621 5 26.5
2010 37 8 1103 3 26.5
2010 37 6 1050 1 26.5
2010 37 6 1086 1 26.5
2010 37 8 1088 1 26.5
2011 37 7 1103 4 2
2011 37 4 887 2 2
2011 37 7 893 2 2
2011 12 3 981 2 0
2011 37 14 1083 2 2
2011 37 1 1086 2 2
2011 37 12 1088 2 2
2011 37 8 1044 1 2
2011 23 4 657 1 2
2011 37 3 723 1 2
2011 37 3 733 1 2
2011 37 6 663 1 2
2011 37 5 724 1 2
2011 37 10 798 1 2
2011 37 8 800 1 2
2012 37 4 1103 5 0
2013 37 8 1103 6 5.8
2013 37 10 893 4 5.8
2013 12 2 985 4 0.5
2013 37 10 1088 4 5.8
2013 37 6 935 3 5.8
2013 12 6 957 2 0.5
2013 23 5 657 3 5.8
2013 37 2 720 3 5.8
2013 37 4 722 3 5.8
2013 37 9 733 3 5.8
2013 37 8 663 3 5.8
2013 37 8 798 3 5.8
2013 37 8 800 3 5.8
2013 37 7 671 2 5.8
2013 37 1 674 2 5.8
2014 37 8 893 5 4.8
2014 12 8 985 5 13.7
2014 37 10 1088 5 4.8
2014 37 9 933 4 4.8
2014 37 7 935 4 4.8
2014 12 14 959 3 13.7
2014 23 8 937 3 4.8
2014 12 9 975 3 13.7
2014 23 9 657 4 4.8
2014 37 6 720 4 4.8
2014 37 3 722 4 4.8
2014 37 4 663 4 4.8
2014 37 7 798 4 4.8
2014 37 7 674 3 4.8
2014 23 6 833 3 4.8
2014 37 3 741 1 4.8
2014 37 5 1466 1 4.8
2014 23 1 759 1 4.8
2014 37 4 815 1 4.8
2014 12 1 626 1 13.7
2014 12 3 628 1 13.7
2015 12 1 981 6 0
2015 12 3 957 4 0
2015 12 5 959 4 0
2015 12 4 975 4 0
2016 37 5 893 7 1.8
2016 12 3 957 5 0
2016 12 4 958 5 0
2016 37 4 733 6 1.8
2016 37 1 663 6 1.8
2016 37 5 674 5 1.8
2016 37 3 748 3 1.8
2016 37 1 642 3 1.8
2016 12 5 1241 2 0
2016 37 2 1400 2 1.8
2017 37 5 893 8 17.3
2017 37 5 663 7 17.3
2017 37 5 674 6 17.3
2017 23 6 761 4 17.3
2017 12 5 625 4 4.1
2017 37 4 648 4 17.3
2017 37 2 1254 3 17.3
2017 37 4 1308 3 17.3
2017 37 9 1357 3 17.3
2017 37 8 1400 3 17.3
2018 15 9 1506 2 0.8
2018 37 4 720 8 1.8
2018 12 4 628 5 0.1
2018 37 3 748 5 1.8
2018 37 3 648 5 1.8
2018 12 9 1239 4 0.1
2018 12 3 1241 4 0.1
2018 37 3 1254 4 1.8
2018 37 3 1308 4 1.8
2018 37 5 1326 4 1.8
2018 37 5 1400 4 1.8
2018 12 1 2154 1 0.1
2018 37 4 2174 1 1.8
2019 41 3 1630 2 9
2019 41 6 1658 2 9
2019 41 7 1665 2 9
2019 12 4 1239 5 0
2019 37 2 1308 5 0.5
2020 15 7 1612 3 0.8
2020 41 4 1630 3 4
2020 41 1 1658 3 4
2020 41 4 1665 3 4
2020 41 2 2213 2 4
2020 37 4 1308 6 2
2020 37 4 2145 3 2
2020 37 4 2151 3 2
2020 37 1 2400 2 2
2020 37 4 2409 2 2
2020 15 9 2468 2 0.8
